Kingdom	Phylum	Class	Order	Family	Genus	Species Name	Authority	Main Common Name	Red List Category	Population Trend	Threats List	Possibly Extinct	Possibly Extinct In Wild	Mitochondrion Count	Chloroplast Count	SRA Short Reads Count	SRA Long Reads Count
-	-	-	-	-	Abarema	Abarema obovata	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Acacia	Acacia piauhiensis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Acacia	Acacia riparia	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Acanthagrion	Acanthagrion peruvianum	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Albizia	Albizia edwarllii	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Allobates	Allobates olfersioides	-	-	-	-	-	No	No	1	0	0	0
-	-	-	-	-	Ameivula	Ameivula abaetensis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Ameivula	Ameivula cyanura	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Ameivula	Ameivula littoralis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Ameivula	Ameivula venetacauda	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Amphisbaena	Amphisbaena darwini	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Anisolepis	Anisolepis grilli	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Anisolepis	Anisolepis undulatus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Annona	Annona ubatubensis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Aplastodiscus	Aplastodiscus callipygius	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Bauhinia	Bauhinia cupreonitens	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Boana	Boana beckeri	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Boana	Boana latistriata	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Boana	Boana phaeopleura	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Bokermannohyla	Bokermannohyla feioi	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Bondarzewia	Bondarzewia sp. nov. 'loguerciae'	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Brycon	Brycon acuminatus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Caecilia	Caecilia pressula	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Caecorhamdella	Caecorhamdella brasiliensis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Calamita	Calamita melanorabdotus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Calyptranthes	Calyptranthes strigipes	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Campomanesia	Campomanesia viatoris	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Caracara	Caracara cheriway	-	-	-	-	-	No	No	2	0	0	0
-	-	-	-	-	Casearia	Casearia commersoniana	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Casearia	Casearia javitensis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Cedrela	Cedrela lilloi	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Celeus	Celeus grammicus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Celeus	Celeus occidentalis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Celeus	Celeus tinnunculus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Cestrum	Cestrum schlechtendahlii	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Cheracebus	Cheracebus purinus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Chironius	Chironius scurrulus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Conus	Conus selenae	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Copella	Copella nigrofasciata	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Corallus	Corallus hortulanus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Crossodactylus	Crossodactylus aeneus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Crossodactylus	Crossodactylus bokermanni	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Delphinus	Delphinus capensis	-	-	-	-	-	No	No	2	0	0	0
-	-	-	-	-	Dendropsophus	Dendropsophus baileyi	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Diospyros	Diospyros apeibacarpos	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Dipturus	Dipturus brevicaudatus	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Eptesicus	Eptesicus brasiliensis	-	-	-	-	-	No	No	1	0	0	0
-	-	-	-	-	Eptesicus	Eptesicus chiriquinus	-	-	-	-	-	No	No	1	0	0	0
-	-	-	-	-	Eptesicus	Eptesicus diminutus	-	-	-	-	-	No	No	1	0	0	0
-	-	-	-	-	Eptesicus	Eptesicus furinalis	-	-	-	-	-	No	No	2	0	0	0
-	-	-	-	-	Eptesicus	Eptesicus taddeii	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Erythrolamprus	Erythrolamprus longiventris	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Eschweilera	Eschweilera amazonicaformis	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Eugenia	Eugenia arianae	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Eugenia	Eugenia ophthalmantha	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Eugenia	Eugenia rostrata	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Ficus	Ficus salzmanniana	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Ficus	Ficus schultesii	-	-	-	-	-	No	No	0	1	0	0
-	-	-	-	-	Franciscobasis	Franciscobasis sonia	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Homo	Homo sapiens	-	-	-	-	-	No	No	68060	0	1460480	9904
-	-	-	-	-	Hyalinobatrachium	Hyalinobatrachium crurifasciatum	-	-	-	-	-	No	No	0	0	0	0
-	-	-	-	-	Hyalinobatrachium	Hyalinobatrachium nouraguense	-	-	-	-	-	No	No	0	0	0	0
