Hexanchus griseus
Lamna nasus
Lutjanus analis
Lutjanus cyanopterus
Anisotremus moricandi
Bokermannohyla itapoty
Pseudis platensis
Deltochilum icarus
Anomiopus parallelus
Ateuchus latus
Canthon divinator
Anomiopus bonariensis
Anisocanthon pygmaeus
Dichotomius schiffleri
Scatonomus xanthopygus
Canthon corpulentus
Anomiopus smaragdinus
Canthon podagricus
Dichotomius nimuendaju
Coprophanaeus terrali
Dichotomius worontzowi
Canthidium viride
Canthon simulans
Canthon coloratus
Bdelyrus paraensis
Canthidium erythropterum
Canthidium angulicolle
Anomiopus howdeni
Canthon luctuosus
Deltorrhinum batesi
Canthidium bokermanni
Dichotomius glaucus
Phanaeus bispinus
Dichotomius crinicollis
Oxysternon macleayi
Canthidium flabellatum
Anomiopus nigrocoeruleus
Canthon lituratus
Coprophanaeus gamezi
Ontherus dentatus
Canthon quinquemaculatus
Uroxys pygmaeus
Canthon smaragdulus
Dichotomius apicalis
Anomiopus pictus
Canthidium flavipes
Canthon edentulus
Coprophanaeus pertyi
Ateuchus murrayi
Canthon laminatus
Ontherus azteca
Cryptocanthon campbellorum
Zonocopris machadoi
Ontherus raptor
Trichillidium quadridens
Ontherus laminifer
Canthidium femoratum
Canthon quadripunctatus
Canthon corruscus
Canthon lividus
Anomiopus laetus
Onthophagus janthinus
Canthidium magnum
Anomiopus birai
Ontherus erosioides
Canthon heyrovskyi
Holocephalus sculptus
Gromphas aeruginosa
Deltochilum carinatum
Canthidium aurichalceum
Anomiopus lauropalui
Dichotomius nutans
Ateuchus carbonarius
Canthidium sladeni
Ontherus brevicollis
Canthon brunnipennis
Canthon nigellus
Ontherus irinus
Canthidium cavifrons
Canthidium abbreviatum
Ateuchus laevicolle
Deltochilum rubripenne
Canthidium manni
Sylvicanthon obscurus
Ontherus virescens
Ateuchus romani
Canthon virens
Canthidium aterrimum
Besourenga horacioi
Canthon tetraodon
Isocopris tarsalis
Uroxys catharinensis
Deltochilum guyanense
Canthon septemmaculatus
Dichotomius tristis
Canthidium glabricolle
Ateuchus squalidus
Gromphas amazonica
Oxysternon pteroderum
Phanaeus sororibispinus
Canthon sordidus
Canthon mutabilis
Canthon vulcanoae
Canthidium metallicum
Deltochilum brasiliense
Anomiopus soledari
Canthon angularis
Deltochilum peruanum
Dichotomius calcaratus
Hansreia affinis
Uroxys angulicollis
Uroxys dilaticollis
Canthidium guyanense
Scatimus simulator
Canthon orfilai
Dichotomius punctulatipennis
Anomiopus gracilis
Canthidium nitidum
Anomiopus virescens
Ateuchus puncticolle
Canthidium haagi
Ontherus androgynus
Anomiopus caputipilus
Canthidium viridiobscurum
Canthon deplanatus
Canthon triangularis
Sulcophanaeus columbi
Sylvicanthon bridarollii
Dichotomius eucranioides
Pedaridium hirsutum
Onthophagus compressus
Canthon formosus
Bdelyrus leptomerus
Canthon sericatus
Onthophagus xanthomerus
Paracanthon trichonotulus
Canthon daguerrei
Dendropaemon crenatostriatus
Canthidium bicolor
Scybalocanthon nigriceps
Coleocephalocereus braunii
Parodia stockingeri
Pilosocereus flexibilispinus
Parodia concinna
Rhipsalis campos-portoana
Rhipsalis burchellii
Leocereus bahiensis
Melocactus salvadorensis
Opuntia assumptionis
Echinopsis calochlora
Pseudorhipsalis ramulosa
Coleocephalocereus diersianus
Parodia langsdorfii
Praecereus euchlorus
Rhipsalis grandiflora
Melocactus inconcinnus
Pierrebraunia brauniorum
Melocactus ernestii
Brasilicereus phaeacanthus
Strophocactus wittii
Cereus albicaulis
Parodia muricata
Echinopsis oxygona
Frailea castanea
Arthrocereus spinosissimus
Melocactus estevesii
Coleocephalocereus goebelianus
Parodia ottonis
Discocactus ferricola
Parodia rechensis
Schlumbergera orssichiana
Parodia mammulosa
Arrojadoa penicillata
Parodia nothorauschii
Cereus kroenleinii
Hatiora herminiae
Gymnocalycium marsoneri
Melocactus smithii
Pereskia nemorosa
Pseudorhipsalis amazonica
Echinopsis rhodotricha
Melocactus zehntneri
Pilosocereus pusillibaccatus
Frailea cataphracta
Stephanocereus luetzelburgii
Cereus bicolor
Parodia allosiphon
Frailea fulviseta
Harrisia adscendens
Pilosocereus splendidus
Gymnocalycium denudatum
Rhipsalis neves-armondii
Hatiora salicornioides
Hylocereus undatus
Parodia neoarechavaletae
Pilosocereus vilaboensis
Melocactus oreas
Frailea pumila
Melocactus braunii
Parodia warasii
Rhipsalis teres
Discocactus diersianus
Rhipsalis ewaldiana
Discocactus boliviensis
Melocactus levitestatus
Parodia oxycostata
Cereus estevesii
Opuntia arechavaletae
Parodia fusca
Parodia erinacea
Parodia schumanniana
Hatiora epiphylloides
Pilosocereus gounellei
Rhipsalis trigona
Gymnocalycium horstii
Lepismium lumbricoides
Cereus insularis
Pilosocereus diersianus
Rhipsalis pentaptera
Rhipsalis pachyptera
Cereus fernambucensis
Micranthocereus purpureus
Rhipsalis dissimilis
Pilosocereus machrisii
Pilosocereus pachycladus
Rhipsalis agudoensis
Parodia leninghausii
Rhipsalis juengeri
Rhipsalis mesembryanthemoides
Parodia horstii
Rhipsalis lindbergiana
Pilosocereus tuberculatus
Rhipsalis clavata
Pilosocereus oligolepis
Rhipsalis ormindoi
Melocactus bahiensis
Gymnocalycium anisitsii
Pilosocereus albisummus
Rhipsalis pulchra
Parodia herteri
Frailea schilinzkyana
Schlumbergera truncata
Melocactus neryi
Hatiora gaertneri
Cereus hexagonus
Coleocephalocereus aureus
Micranthocereus flaviflorus
Parodia carambeiensis
Cereus hildmannianus
Pilosocereus parvus
Cereus saddianus
Rhipsalis cereuscula
Melocactus brederooianus
Gymnocalycium uruguayense
Frailea mammifera
Hatiora cylindrica
Parodia tenuicylindrica
Parodia rudibuenekeri
Harrisia balansae
Stephanocereus leucostele
Parodia mueller-melchersii
Arrojadoa rhodantha
Opuntia elata
Parodia arnostiana
Parodia neohorstii
Parodia magnifica
Parodia turbinata
Parodia alacriportana
Opuntia megapotamica
Pilosocereus densiareolatus
Praecereus saxicola
Facheiroa squamosa
Frailea pygmaea
Schlumbergera russelliana
Hatiora rosea
Opuntia stricta
Arrojadoa marylaniae
Pilosocereus mollispinus
Pilosocereus jauruensis
Discocactus hartmannii
Pilosocereus bohlei
Pereskia sacharosa
Parodia linkii
Coleocephalocereus pluricostatus
Parodia crassigibba
Rhipsalis olivifera
Parodia scopa
Siccobaccatus estevesii
Frailea gracillima
Pilosocereus flavipulvinatus
Parodia haselbergii
Pilosocereus ulei
Cereus jamacaru
Rhipsalis puniceodiscus
Frailea phaeodisca
Frailea buenekeri
Frailea curvispina
Melocactus concinnus
Parodia buiningii
Cereus pierre-braunianus
Pilosocereus chrysostele
Tacinga subcylindrica
Ctenogobius thoropsis
Sciades parkeri
Hyporhamphus roberti
Haemulon striatum
Cosmocampus elucens
Strongylura marina
Euryoryzomys lamia
Pseudosuccinea columella
Cyperus rotundus
Bulbostylis hispidula
Pagrus pagrus
Battus belus
Danaus plexippus
Euryades corethrus
Libytheana carinenta
Danaus gilippus
Parides lysander
Parides proneus
Battus crassus
Dactylobatus clarkii
Pseudobatos percellens
Carcharhinus acronotus
